from	to	interaction_count	edge_betweenness
2893	5585	0.79	2.33333333333333
2893	5819	0.9	51.7383838383838
2921	3198	0.58	4.72738095238095
2921	3418	0.99	8.37533577533578
2921	3606	0.98	4.03078947196594
2921	4459	0.99	4.03078947196594
2921	4646	0.98	1.2
2921	4770	1	4.03078947196594
2921	4822	1	4.03078947196594
2921	5088	1	4.03078947196594
2921	5942	0.71	59.7902145240381
2921	7500	0.97	4.7772444946358
2921	7674	0.99	4.03078947196594
2921	7977	0.73	1.24347826086957
2921	8494	1.01	1.414592760181
2921	9286	0.95	1.7
2921	9455	1	2.74285714285714
2921	9664	0.99	4.03078947196594
2921	10425	1	4.03078947196594
3198	4646	0.88	4.52738095238095
3198	5942	1	18.853268953269
3198	7977	0.84	4.32738095238095
3198	8494	0.79	5.48156647274294
3198	9286	0.9	4.86071428571429
3198	9455	0.53	6.47023809523809
3333	4786	0.77	15.5178571428571
3333	5819	0.87	42.6521367521367
3333	7132	1.01	5.55672105672106
3333	8513	0.82	14.2635753135753
3333	9587	0.84	20.6635753135753
3418	3606	1	7.07352451470099
3418	4459	1	7.07352451470099
3418	4646	0.95	8.54200244200244
3418	4770	1	7.07352451470099
3418	11276	0.5	152.140862895275
3418	4822	1	7.07352451470099
3418	5088	1	7.07352451470099
3418	7500	1	7.32572934312065
3418	7674	1.01	7.07352451470099
3418	7977	0.64	8.58548070287201
3418	8494	1	9.13971845148316
3418	9286	0.58	10.6253357753358
3418	9455	1	6.38452380952381
3418	9664	1	7.07352451470099
3418	10425	1	7.07352451470099
3424	11011	0.76	35.0418620595091
3424	8513	0.93	13.428578774167
3424	9587	0.77	13.7124023035788
3606	4459	1	1
3606	4646	0.8	4.82815223991694
3606	4770	1	1
3606	4822	1	1
3606	5088	1	1
3606	7500	0.99	1.04347826086957
3606	7674	1	1
3606	7977	0.57	4.87163050078651
3606	8494	1	3.42390289449113
3606	9286	0.77	5.82815223991694
3606	9455	1	1.77355324414148
3606	9664	1	1
3606	10425	1	1
3826	9286	0.56	32.7
4459	4646	0.94	4.82815223991694
4459	4770	1.01	1
4459	4822	1	1
4459	5088	1	1
4459	7500	1	1.04347826086957
4459	7674	1	1
4459	7977	0.63	4.87163050078651
4459	8494	1.01	3.42390289449113
4459	9286	0.81	5.82815223991694
4459	9455	1.01	1.77355324414148
4459	9664	1	1
4459	10425	1	1
4646	4770	0.95	4.82815223991694
4646	4822	0.92	4.82815223991694
4646	5088	0.93	4.82815223991694
4646	5942	0.79	61.8629417967653
4646	7500	0.88	5.83958215697346
4646	7674	0.93	4.82815223991695
4646	7977	0.97	1.04347826086957
4646	8494	0.98	1.95418552036199
4646	9286	1	1.33333333333333
4646	9455	1	2.94285714285714
4646	9664	0.9	4.82815223991695
4646	10425	0.95	4.82815223991695
4770	4822	1	1
4770	5088	1	1
4770	7500	1.01	1.04347826086957
4770	7674	1	1
4770	7977	0.71	4.87163050078651
4770	8494	1.01	3.42390289449113
4770	9286	0.86	5.82815223991694
4770	9455	1.01	1.77355324414148
4770	9664	1	1
4770	10425	1	1
4786	5819	0.85	34.4821428571429
4822	5088	1	1
4822	7500	1	1.04347826086957
4822	7674	1	1
4822	7977	0.59	4.87163050078651
4822	8494	1	3.42390289449113
4822	9286	0.85	5.82815223991694
4822	9455	1	1.77355324414148
4822	9664	1	1
4822	10425	1	1
5088	7500	1.01	1.04347826086957
5088	7674	1	1
5088	7977	0.66	4.87163050078651
5088	8494	1	3.42390289449113
5088	9286	0.83	5.82815223991694
5088	9455	1	1.77355324414148
5088	9664	1	1
5088	10425	1	1
5585	5819	1	26.9152958152958
5819	7067	0.76	156.929023754024
5819	7132	0.95	39.3192141192141
5942	7067	0.52	310.981057341352
5942	7977	0.8	59.0581798920034
5942	8494	0.98	58.8701770451771
5942	9286	1.01	71.479608463432
7067	12727	0.51	65.1393795746737
7132	8513	0.66	22.578243978244
7132	9587	0.7	23.5715229215229
7500	7674	1	1.04347826086957
7500	8494	0.95	4.04824016563147
7500	9286	0.74	6.83958215697346
7500	9455	1	1.97248258987389
7500	9664	0.99	1.04347826086957
7500	10425	1	1.04347826086957
7674	7977	0.6	4.87163050078651
7674	8494	1	3.42390289449113
7674	9286	0.8	5.82815223991695
7674	9455	1	1.77355324414148
7674	9664	1	1
7674	10425	1	1
7977	8494	0.92	1.99766378123156
7977	9286	1.01	1.3768115942029
7977	9455	0.92	2.98633540372671
7977	9664	0.61	4.87163050078651
7977	10425	0.7	4.87163050078651
8494	9286	1.01	2.95418552036199
8494	9455	1.01	3.15744990303814
8494	9664	1	3.42390289449113
8494	10425	1	3.42390289449113
8513	9587	0.96	5.18333333333333
9286	9455	0.98	3.44285714285714
9286	9664	0.82	5.82815223991695
9286	10425	0.84	5.82815223991695
9455	9664	1	1.77355324414148
9455	10425	1	1.77355324414148
9587	12727	0.56	20.5338346294229
9664	10425	1	1
