name	asv_id	betweenness	color	asv_name	ASV_color	genus_name	genus_color	family_name	family_color	order_name	order_color	class_name	class_color	phylum_name	phylum_color
1767	238736900471bfe9cdfa1bbdf0cd8151	0.0232089957751927	#8AE6AE	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T	#FD1698	Sporosarcina	#6885AA	Planococcaceae	#9455C3	Bacillales_A	#637158	Bacilli_A	#BB8722	Bacillota_I	#B6860D
1967	27b4bf43c4374efaf423108a0099e79a	0.0553414055030328	#8AAEE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_A; f__Planococcaceae	#B9E8C2	Halopseudomonas_650606	#606A32	Pseudomonadaceae	#6A727D	Pseudomonadales_A_650611	#6D5F4F	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
1970	27bbeb5ba76402142c02f75a17004f43	0.0128513277767009	#E68A8A	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Rhizobiaceae; g__Brucella_498865; s__Brucella ciceri	#9FF600	Lacrimispora	#AA71C2	Lachnospiraceae	#9F81CB	Lachnospirales	#907CAF	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
2067	29f43893cd9d09212893f97e6bb415c3	0.0238575748918237	#8AAEE6	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Dysgonomonadaceae; g__Dysgonomonas; s__	#400DF9	Desulfovibrio_446353	#357F4B	Desulfovibrionaceae	#62703D	Desulfovibrionales	#4F163B	Desulfovibrionia	#AD8694	Desulfobacterota_G_459543	#CD7562
2401	30554407069b2367b77ee68c1982db14	0.0328852331602406	#8AAEE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_B_306087; f__Caldibacillaceae; g__Bacillus_J_295379	#FE9B70	Corynebacterium	#264B49	Mycobacteriaceae	#324747	Mycobacteriales	#455C5C	Actinomycetes	#1C4549	Actinomycetota	#0D650D
2439	3104b6d0a19cead576153e29ab3d5548	0.0536692439677514	#E68A8A	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A_142742; s__	#16FFB5	Comamonas_F_589250	#6A0047	Burkholderiaceae_A_595421	#B4837E	Burkholderiales	#1C9ABE	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
2450	313aec37577cdcd2b0ffd21d43eb69ac	0.0588335379380155	#E68A8A	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_A_595373; g__Alcaligenes	#EECEFF	Scrofimicrobium	#A38B7F	Actinomycetaceae	#6E5563	Actinomycetales	#0DA200	Actinomycetes	#1C4549	Actinomycetota	#0D650D
2542	332984af6a246195771ec1ab95e19d0d	0	#E68A8A	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_732334	#EFB465	Sphingobacterium	#760DFF	Sphingobacteriaceae	#FC00A4	Sphingobacteriales	#FD0032	Bacteroidia	#FF00E9	Bacteroidota	#2E1682
2765	37a90abf181b684611b3eabfd5dfa715	0.0232336699198195	#8AAEE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_D; f__Amphibacillaceae	#B816CA	Proteus	#774DCC	Enterobacteriaceae_A_732334	#0068FE	Enterobacterales_737866	#C000EA	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
2843	392aa3c45e128c7432f91b3de84541f6	0.0871059747798479	#8AAEE6	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_B_877923; f__Weeksellaceae; g__Moheibacter; s__	#FF7EF4	Enterocloster	#A184BD	Lachnospiraceae	#9F81CB	Lachnospirales	#907CAF	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
2893	3a6b6eaabaee9f111ba41af0866179ef	0.0145700196285767	#8AAEE6	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Actinomycetaceae; g__Scrofimicrobium	#941C1C	Scrofimicrobium	#A38B7F	Actinomycetaceae	#6E5563	Actinomycetales	#0DA200	Actinomycetes	#1C4549	Actinomycetota	#0D650D
3066	3dc5c997cd195d05fd8427b36f3561a8	0	#D3E68A	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Bifidobacteriaceae; g__Bifidobacterium_388775	#45FF0D	Leucobacter	#785C0D	Microbacteriaceae	#82494D	Actinomycetales	#0DA200	Actinomycetes	#1C4549	Actinomycetota	#0D650D
3198	40ed46bcb442ebd432da0a88dae9d3ab	0.0131641709506998	#8AAEE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_D; f__Amphibacillaceae; g__Virgibacillus_E_287324; s__Virgibacillus_E_287324 halodenitrificans	#32B41C	Dysgonomonas	#80957D	Dysgonomonadaceae	#226EAF	Bacteroidales	#F05C00	Bacteroidia	#FF00E9	Bacteroidota	#2E1682
