name	asv_id	betweenness	color	taxon	ASV_color	genus_name	genus_color	family_name	family_color	order_name	order_color	class_name	class_color	phylum_name	phylum_color
4007	5254ac813be63944a9cba4c95799b15c	0.00127765358104757	#8AE68A	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Dysgonomonadaceae; g__; s__	#1673A0	Unknown	#555555	Dysgonomonadaceae	#226EAF	Bacteroidales	#F05C00	Bacteroidia	#FF00E9	Bacteroidota	#2E1682
4040	52e59244952b2a15ad53ac8979c8b575	0.013361095944332	#8A8AE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_D; f__Amphibacillaceae; g__Amphibacillus_B	#32B41C	Amphibacillus_B	#978D71	Amphibacillaceae	#FF3B73	Bacillales_D	#FB4070	Bacilli_A	#BB8722	Bacillota_I	#B6860D
4581	5d3a321083beddaaa47042974beaae8f	0.0136231065424229	#8A8AE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_D; f__Amphibacillaceae	#B9AADC	Unknown	#555555	Amphibacillaceae	#FF3B73	Bacillales_D	#FB4070	Bacilli_A	#BB8722	Bacillota_I	#B6860D
5208	69a95a431d86566fd7520a966d10bb17	0.00967860406716236	#8AE68A	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921; g__; s__Eubacterium tenue	#2681FF	Unknown	#555555	Peptostreptococcaceae_256921	#7F88E6	Peptostreptococcales	#EF605D	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
5233	6a0bbfe5241c80e0f4e91b06fe4715c7	0	#E68A8A	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T	#FAD5DD	Clostridium_T	#F74FA4	Clostridiaceae_222000	#D10070	Clostridiales	#604200	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
5492	6f52114301d2f8159e5ac714d181c5b1	0.0176595194463812	#8A8AE6	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Massilibacteroides; s__Massilibacteroides vaginae	#0DFD84	Massilibacteroides	#B08562	Tannerellaceae	#7E664B	Bacteroidales	#F05C00	Bacteroidia	#FF00E9	Bacteroidota	#2E1682
5528	700ac3b611462f8b2ab5a50d57612a59	0.0115770757111735	#8AE68A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_D; f__Amphibacillaceae; g__Pseudogracilibacillus; s__Pseudogracilibacillus auburnensis	#FE7DE7	Pseudogracilibacillus	#844260	Amphibacillaceae	#FF3B73	Bacillales_D	#FB4070	Bacilli_A	#BB8722	Bacillota_I	#B6860D
5555	70b2e7c7f1d45f604db7b156bf61bd29	0.00348118819792969	#8AE68A	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Dysgonomonadaceae; g__Dysgonomonas; s__Dysgonomonas sp001261735	#35F9DC	Dysgonomonas	#80957D	Dysgonomonadaceae	#226EAF	Bacteroidales	#F05C00	Bacteroidia	#FF00E9	Bacteroidota	#2E1682
5819	75ab6e2bf81c9bdc826128ec90694035	0	#E68A8A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_H_361473; f__Bacillaceae_D_361233; g__Shouchella	#761CBB	Shouchella	#BA3287	Bacillaceae_D_361233	#0087AB	Bacillales_H_361473	#B37383	Bacilli_A	#BB8722	Bacillota_I	#B6860D
5942	78056058faedd75d706633c5f55a975f	0	#E68A8A	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_732334; g__Morganella	#B9009E	Morganella	#CF00B4	Enterobacteriaceae_A_732334	#0068FE	Enterobacterales_737866	#C000EA	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
6007	7956001dcf85952283f2937e9b2203ba	0.00347299853236766	#8A8AE6	d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium_A; s__Fusobacterium_A ulcerans	#35B56A	Fusobacterium_A	#948389	Fusobacteriaceae	#9849A5	Fusobacteriales	#7690A5	Fusobacteriia	#1CA191	Fusobacteriota	#BE6DDF
6086	7ad30dd4fbce0bae5e03b0f577bfee4c	0	#E68A8A	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Dysgonomonadaceae; g__Dysgonomonas; s__	#2E583B	Dysgonomonas	#80957D	Dysgonomonadaceae	#226EAF	Bacteroidales	#F05C00	Bacteroidia	#FF00E9	Bacteroidota	#2E1682
6096	7b0126b8e96327e866469a108cf76324	0	#E68A8A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_D; f__Amphibacillaceae	#B9AADC	Unknown	#555555	Amphibacillaceae	#FF3B73	Bacillales_D	#FB4070	Bacilli_A	#BB8722	Bacillota_I	#B6860D
