name	asv_id	betweenness	color	asv_name	ASV_color	genus_name	genus_color	family_name	family_color	order_name	order_color	class_name	class_color	phylum_name	phylum_color
455	094226930fb6d71f02c7b6124105e94b	0.0309760374050263	#8AE68A	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Actinomycetaceae; g__Scrofimicrobium; s__Scrofimicrobium canadense	#3D3D8C	Bacillus_P_294101	#D100A2	Bacillaceae_H_294103	#F13BBE	Bacillales_B_306089	#CA6575	Bacilli_A	#BB8722	Bacillota_I	#B6860D
493	09f558ae9bced6d66b0039693b77f8af	0	#E68A8A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Coprobacillaceae; g__Thomasclavelia; s__Thomasclavelia ramosa	#795163	Corynebacterium	#264B49	Mycobacteriaceae	#324747	Mycobacteriales	#455C5C	Actinomycetes	#1C4549	Actinomycetota	#0D650D
647	0d4f8c7adeb1a4f9347c6b77a8b3f5f8	0.0201464571801836	#8AE68A	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_A_595421; g__Comamonas_F_589250	#9C40D6	Blautia_A_142742	#BF3D16	Lachnospiraceae	#9F81CB	Lachnospirales	#907CAF	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
655	0d8cfebb1a306a616fcb0b57b4f283b7	0	#E68A8A	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Microbacteriaceae; g__Leucobacter	#45FF0D	Scrofimicrobium	#A38B7F	Actinomycetaceae	#6E5563	Actinomycetales	#0DA200	Actinomycetes	#1C4549	Actinomycetota	#0D650D
692	0e3c256f733f8976de04a25593cc6bf9	0.00649392817715436	#8AE6E6	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309	#008BFD	Unknown	#555555	Oscillospiraceae_88309	#A122E2	Oscillospirales	#B673E4	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
1353	1b158b8b2922d4fcad5d9cea607cbb7d	0.0309760374050263	#8AE68A	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Brevibacteriaceae; g__Brevibacterium	#FCCE00	Escherichia	#B68576	Enterobacteriaceae_A_725029	#628B91	Enterobacterales_737866	#C000EA	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
1715	228ae07feb0040900651f7580168bd27	0.00218729503259721	#E68A8A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Enterococcaceae	#22AF16	Thomasclavelia	#4F266C	Coprobacillaceae	#353869	Erysipelotrichales	#9475FB	Bacilli_A	#BB8722	Bacillota_I	#B6860D
1763	236aa9c31de795e40a417cd58e8f9619	0.00218729503259721	#E68A8A	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_B_877923; f__Flavobacteriaceae; g__Flavobacterium; s__Myroides aquimaris	#AB1663	Unknown	#555555	Lachnospiraceae	#9F81CB	Lachnospirales	#907CAF	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
1767	238736900471bfe9cdfa1bbdf0cd8151	0.00218729503259721	#E68A8A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_A; f__Planococcaceae; g__Sporosarcina	#C4ECC2	Sporosarcina	#6885AA	Planococcaceae	#9455C3	Bacillales_A	#637158	Bacilli_A	#BB8722	Bacillota_I	#B6860D
1854	2568b025d44bcd4a8928c7dde7a6859b	0.118092547753565	#8AE6E6	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T	#A10DFD	Savagea	#C47C72	Planococcaceae	#9455C3	Bacillales_A	#637158	Bacilli_A	#BB8722	Bacillota_I	#B6860D
1967	27b4bf43c4374efaf423108a0099e79a	0.000925384765244496	#8AE6E6	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_732334; g__Proteus	#45B4CA	Halopseudomonas_650606	#606A32	Pseudomonadaceae	#6A727D	Pseudomonadales_A_650611	#6D5F4F	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
1970	27bbeb5ba76402142c02f75a17004f43	0	#8A8AE6	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A_142742; s__	#32FFB5	Lacrimispora	#AA71C2	Lachnospiraceae	#9F81CB	Lachnospirales	#907CAF	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
2002	2892f46388f6758c561d38afb6f769b7	0.0643372018591189	#8AE68A	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_732334	#CE9E38	Anaerococcus	#9E0056	Peptoniphilaceae	#512A53	Tissierellales	#6A00A5	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
2067	29f43893cd9d09212893f97e6bb415c3	0.00206785227241101	#8AE6E6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Lactobacillaceae; g__Companilactobacillus	#E516FF	Desulfovibrio_446353	#357F4B	Desulfovibrionaceae	#62703D	Desulfovibrionales	#4F163B	Desulfovibrionia	#AD8694	Desulfobacterota_G_459543	#CD7562
2401	30554407069b2367b77ee68c1982db14	0.00136372491720242	#8AE6E6	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Dysgonomonadaceae; g__Dysgonomonas; s__Dysgonomonas capnocytophagoides	#94424F	Corynebacterium	#264B49	Mycobacteriaceae	#324747	Mycobacteriales	#455C5C	Actinomycetes	#1C4549	Actinomycetota	#0D650D
2439	3104b6d0a19cead576153e29ab3d5548	0.00218729503259721	#E68A8A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Lactobacillaceae; g__Weissella	#CEE5FB	Comamonas_F_589250	#6A0047	Burkholderiaceae_A_595421	#B4837E	Burkholderiales	#1C9ABE	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
2450	313aec37577cdcd2b0ffd21d43eb69ac	0	#E6E68A	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Actinomycetaceae; g__Scrofimicrobium	#941C1C	Scrofimicrobium	#A38B7F	Actinomycetaceae	#6E5563	Actinomycetales	#0DA200	Actinomycetes	#1C4549	Actinomycetota	#0D650D
2765	37a90abf181b684611b3eabfd5dfa715	0.00218729503259721	#E68A8A	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae; g__Corynebacterium	#0DF5FD	Proteus	#774DCC	Enterobacteriaceae_A_732334	#0068FE	Enterobacterales_737866	#C000EA	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
2843	392aa3c45e128c7432f91b3de84541f6	0.0965960481498575	#E6E68A	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_A_595373; g__; s__	#E6E416	Enterocloster	#A184BD	Lachnospiraceae	#9F81CB	Lachnospirales	#907CAF	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
2893	3a6b6eaabaee9f111ba41af0866179ef	0.083116948513936	#E68A8A	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides_H_857956	#898C6E	Scrofimicrobium	#A38B7F	Actinomycetaceae	#6E5563	Actinomycetales	#0DA200	Actinomycetes	#1C4549	Actinomycetota	#0D650D
3066	3dc5c997cd195d05fd8427b36f3561a8	0.000649392817715436	#8AE6E6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_B_306089; f__Bacillaceae_H_294103; g__Bacillus_P_294101	#FF91AB	Leucobacter	#785C0D	Microbacteriaceae	#82494D	Actinomycetales	#0DA200	Actinomycetes	#1C4549	Actinomycetota	#0D650D
3198	40ed46bcb442ebd432da0a88dae9d3ab	0	#8AE6E6	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_725029	#683575	Dysgonomonas	#80957D	Dysgonomonadaceae	#226EAF	Bacteroidales	#F05C00	Bacteroidia	#FF00E9	Bacteroidota	#2E1682
