from	to	interaction_count	edge_betweenness
7067	10999	1.01	2.46700581395349
7067	11276	1	1.50300207039337
7132	8014	0.58	6.48524689128112
7132	9286	0.53	22.6027338938352
7132	12727	0.82	13.8251432331344
7132	10999	0.95	7.04519431488131
7132	11276	1.01	3.15319294137074
7632	7907	0.79	21.4477356845725
7632	8494	0.86	17.6086013927782
7632	8513	0.98	9.70813575737682
7632	9286	0.98	42.636389515955
7632	9455	1.01	19.8254367143194
7632	12727	0.81	67.6821876788089
7632	10425	1	27.8567894975808
7632	11394	1.01	31.0068399173829
7674	7949	0.86	34.8811046463165
7847	7907	0.66	9.13115259215835
7847	7977	1.01	1.77361111111111
7847	8014	0.83	12.9778108826524
7847	11011	1	2.55300223528484
7847	10999	0.63	15.7231173007272
7907	7977	0.82	10.9821053529029
7907	8513	1.01	5.04050242858946
7907	11011	1	5.85408927023126
7907	9025	0.66	11.3680465794081
7907	9286	0.84	12.2385336815552
7949	7977	0.66	13.5171344285459
7949	11011	0.69	11.177146647491
7949	11797	0.96	41.6635626817011
7977	8014	1.01	12.5033918178218
7977	11011	1	3.52129607907938
7977	10999	0.93	15.5395395233622
8014	10999	1.01	1.93069629014396
8014	11276	1	2.80898033126294
8494	8513	0.84	18.931677693763
8494	9455	0.94	2.18019105077929
8494	10425	1	2.17597832476562
8494	11394	1.01	3.67855199131564
8494	11797	1.01	7.75719289962541
8513	11011	0.99	10.4727893207539
9025	9286	0.99	6.24708540485718
9025	12727	0.99	9.08417112912532
9286	12727	1	3.83159942893985
9455	10425	1	2.25709317966778
9455	11394	0.99	3.6765504542054
9455	11797	1.01	10.5033308724326
10425	11394	1	1.59775197222006
10425	11797	0.65	15.1669738578445
10999	11276	1	3.32062900235929
